Image,Path,Reference,isCalibrated,sppName,sppID,REGION Area cm2,SPECIES Area cm2,TOTAL Area cm2,REGION Cov %,SPECIES Cov %,TOTAL Cov %,Region Area pix,Species Area pix,Total Area pix,CentroidX,CentroidY,Eccentricity,Orientation,Perimeter pix,Perimeter cm,EquivDiameter pix,EquivDiameter cm,perimRoughness,PerimOverArea,BoundingBox Area Pix,BoundingBox Area cm2,MajorAxisLength pix,MajorAxisLength cm,MinorAxisLength pix,MinorAxisLength cm,ref Area pix,ref Area cm2,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,hasPockets,user notes
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,0.327129,126.294,1407.82,0.00918997,3.54797,39.5496,1071,413480,4.61E+06,3087.45,2642.81,0.934062,-79.5618,176.024,3.076,36.9275,0.645,39.7748,0.164355,2160,0.66,65.7627,1.149,23.4846,0.41,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,1.04034,126.294,1407.82,0.029226,3.54797,39.5496,3406,413480,4.61E+06,3092.88,2789.78,0.793883,-14.4448,2.82843,0.049,65.8533,1.151,20.4264,0.000830425,5605,1.712,86.1856,1.506,52.4069,0.916,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,0.590115,126.294,1407.82,0.016578,3.54797,39.5496,1932,413480,4.61E+06,2916.75,2812.67,0.96613,44.555,250.149,4.372,49.5974,0.867,44.2698,0.129477,6248,1.908,100.134,1.75,25.8402,0.452,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,0.83233,126.294,1407.82,0.0233825,3.54797,39.5496,2725,413480,4.61E+06,1866.61,3236.28,0.735248,57.5149,209.823,3.667,58.9031,1.029,15.2442,0.0769994,4060,1.24,72.3414,1.264,49.0328,0.857,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,23.7933,126.294,1407.82,0.668423,3.54797,39.5496,77898,413480,4.61E+06,3269.86,2345.4,0.960767,-89.0741,2757.15,48.187,314.933,5.504,54.3228,0.0353944,273912,83.664,875.043,15.293,242.699,4.242,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Siderastrea siderea,67,4.53612,4.53612,1407.82,0.127433,0.127433,39.5496,14851,14851,4.61E+06,241.876,1129.15,0.616058,44.5378,502.132,8.776,137.51,2.403,8.70383,0.0338113,19880,6.072,155.177,2.712,122.233,2.136,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia agaricites (agaricites),85,1.95972,1.95972,1407.82,0.055054,0.055054,39.5496,6416,6416,4.61E+06,1456.79,3350.95,0.747378,34.5708,347.706,6.077,90.3831,1.58,19.2802,0.0541935,10246,3.13,113.853,1.99,75.6436,1.322,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,6.4149,25.1932,1407.82,0.180213,0.707748,39.5496,21002,82481,4.61E+06,1602.46,1312.36,0.931947,6.09344,960.507,16.787,163.525,2.858,43.5835,0.0457341,42742,13.055,315.814,5.519,114.512,2.001,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,6.11679,25.1932,1407.82,0.171838,0.707748,39.5496,20026,82481,4.61E+06,1813.25,1413.79,0.910159,-19.7194,1003.51,17.538,159.681,2.791,40.2331,0.0501104,45504,13.899,288.761,5.047,119.622,2.091,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,0.498176,25.1932,1407.82,0.0139952,0.707748,39.5496,1631,82481,4.61E+06,1956.35,1579.48,0.882181,72.8762,196.853,3.44,45.5703,0.796,32.0871,0.120695,3034,0.927,71.9862,1.258,33.8991,0.592,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
